BUSSTOP_NM	BUS_STOP_ID	GPS_LATI	GPS_LONG
평촌2통마을회관	33900	36.2394	127.316
정림삼거리	30830	36.307	127.365
정림초등학교	30860	36.3047	127.365
정림공원	35610	36.3018	127.366
백목련아파트	35620	36.2995	127.365
정림중학교	34600	36.2943	127.362
원정림	34580	36.2897	127.361
모세골	34560	36.288	127.36
반지리	34620	36.2828	127.362
선골	34650	36.2786	127.366
암뱀골	35190	36.2758	127.364
등골	33840	36.268	127.352
기성농협	33700	36.2536	127.341
등골	33850	36.268	127.352
암뱀골	35200	36.2758	127.365
선골	34640	36.2786	127.366
반지리	34630	36.2828	127.362
모세골	34570	36.2879	127.361
원정림	34590	36.2898	127.361
정림중학교	34610	36.2942	127.362
코스모스아파트	35630	36.2986	127.365
정림공원	30890	36.3018	127.366
정림초등학교	30880	36.3036	127.366
정림삼거리	30840	36.3067	127.365
낭월공영차고지기점	8003109	36.2671	127.479
낭월공영차고지	13820	36.2688	127.478
남대전종합물류단지	13780	36.2729	127.472
석천들마을아파트	13410	36.2764	127.467
산내초등학교	13460	36.2781	127.469
e편한세상아파트	13440	36.2806	127.468
산내주공아파트	14770	36.2839	127.466
오투그란데아파트	14780	36.2877	127.464
면허시험장	13540	36.2898	127.462
이사동입구	13520	36.2878	127.459
토토자연학습원	13490	36.2851	127.458
감나무골입구	14440	36.282	127.458
대별동	14150	36.2792	127.457
지푸재	14510	36.2706	127.451
소리.말미	13760	36.2679	127.452
소호동	13740	36.2641	127.45
소호2동	13720	36.2651	127.44
장척동	13700	36.2553	127.436
금동	23110	36.2459	127.428
금동마을	23100	36.2457	127.426
모랭이	23080	36.2449	127.422
금동이고개	23690	36.246	127.418
사기정골	22980	36.248	127.41
정생2동	22900	36.2508	127.407
화곡	22890	36.254	127.402
정생1동	22830	36.2562	127.399
정생농협창고	22810	36.2587	127.398
목달동	22870	36.2717	127.401
중구체육복지센터	22850	36.2753	127.4
침산동입구	22770	36.2774	127.399
침산교/점말	23580	36.2764	127.397
침산동	23600	36.2737	127.396
대전청소년수련마을	22790	36.2709	127.393
침산동	23610	36.2736	127.396
침산교/점말	23590	36.2763	127.397
보문산교통광장	23500	36.2877	127.391
오월드회전교차로	22620	36.2913	127.388
상당	22640	36.2945	127.389
산성어린이도서관	22600	36.2959	127.387
사정동	22560	36.2978	127.385
산성초등학교	22580	36.3006	127.386
산성네거리	22290	36.3033	127.386
산성시장	22340	36.3052	127.389
산성동새마을회관	22400	36.3062	127.392
중구보건소	21850	36.3082	127.396
문화동주공아파트	21890	36.3104	127.4
충남기계공고	21960	36.3125	127.402
동산중고등학교	22000	36.3144	127.405
센트럴파크2단지	22140	36.3157	127.409
충남대학교병원	22220	36.3175	127.414
문화동하우스토리	21000	36.3199	127.416
대전충남병무청	22250	36.3226	127.415
성모병원	20550	36.3234	127.419
성모오거리	20610	36.3234	127.421
대전고등학교	20700	36.3229	127.424
대흥네거리	20770	36.3238	127.427
대흥동우체국	20820	36.3253	127.432
원동네거리	10070	36.3276	127.435
대전역/역전시장	10040	36.3295	127.434
대전역동광장	14630	36.3338	127.437
대전역동광장	11410	36.3335	127.437
신안동	11400	36.3317	127.44
대동역3번출구	11180	36.3291	127.442
대전화병원	11390	36.3283	127.439
목척교	12450	36.3307	127.431
선화동우체국	20290	36.328	127.424
중구청역	20170	36.3243	127.419
서대전네거리역1번출구	22230	36.3212	127.414
충대병원네거리	21010	36.3189	127.416
충남대학교병원	22210	36.3178	127.413
센트럴파크2단지	22130	36.3163	127.41
동산중고등학교	21990	36.3146	127.405
충남기계공고	21950	36.3118	127.401
문화동주공아파트	21880	36.3101	127.398
중구보건소	21860	36.3085	127.396
산성동새마을회관	22410	36.3065	127.392
산성시장	22330	36.3053	127.388
산성네거리	22280	36.3038	127.386
산성초등학교	22570	36.3005	127.385
사정동	22550	36.2979	127.385
산성어린이도서관	22590	36.2957	127.387
상당	22630	36.2945	127.389
오월드회전교차로	22610	36.2915	127.388
보문산교통광장	23490	36.2874	127.391
침산동입구	22760	36.2773	127.398
중구체육복지센터	22840	36.2752	127.4
목달동	22860	36.2717	127.401
정생농협창고	22800	36.2586	127.398
정생1동	22820	36.2561	127.399
화곡	22880	36.254	127.401
정생2동	22960	36.2507	127.407
사기정골	22970	36.2479	127.41
금동이고개	23700	36.2459	127.418
모랭이	23070	36.2449	127.422
금동마을	23090	36.2456	127.426
금동	23620	36.2458	127.428
장척동	13710	36.2553	127.436
소호2동	13730	36.265	127.44
소호동	13750	36.2641	127.45
소리.말미	13770	36.2677	127.452
지푸재	14500	36.2705	127.451
대별동	14160	36.2791	127.457
감나무골입구	14450	36.2821	127.458
토토자연학습원	13500	36.2851	127.458
이사동입구	13510	36.2876	127.459
면허시험장	13530	36.2897	127.462
오투그란데아파트	13680	36.2871	127.465
산내주공아파트	13400	36.2833	127.466
e편한세상아파트	13430	36.2811	127.468
산내초등학교	13450	36.2787	127.469
석천들마을아파트	13420	36.2765	127.468
남대전종합물류단지	13790	36.2727	127.471
낭월공영차고지	13820	36.2702	127.477
머티네거리	22320	36.3092	127.388
산성동행정복지센터	22300	36.3061	127.387
침산동입구	22760	36.2774	127.398
목달동/송곡가든	23650	36.2689	127.404
산서초등학교	22910	36.2668	127.408
목달동/송곡가든	23660	36.269	127.405
운전면허시험장	13670	36.2905	127.463
대성동	13650	36.2941	127.462
고산사입구	13630	36.2969	127.46
하늘채2차아파트	13570	36.2984	127.459
은어송초등학교	10410	36.3015	127.457
남대전변전소	10340	36.3039	127.454
가오주공아파트	10320	36.3056	127.453
가오동	10300	36.3089	127.45
천동주공아파트	10280	36.3108	127.449
천동	10260	36.3119	127.445
천석교	10230	36.3128	127.442
효동네거리	10180	36.3165	127.44
인동현대아파트	10130	36.3196	127.439
신인동주민센터	10090	36.3235	127.437
중앙시장	10060	36.3283	127.434
대흥동성당	20760	36.327	127.427
원동네거리	10080	36.326	127.435
인동네거리	10100	36.3227	127.437
인동현대아파트	10110	36.3197	127.439
효동네거리	10170	36.3162	127.44
천석교	10240	36.3124	127.442
천동	10250	36.3118	127.445
천동주공아파트	10270	36.3103	127.449
가오동	10310	36.308	127.451
가오주공아파트	10330	36.3053	127.453
남대전변전소	10350	36.3037	127.454
은어송중학교입구	13590	36.2988	127.458
고산사입구	13620	36.2966	127.46
운전면허시험장	13660	36.2911	127.463
산성시장	22310	36.3061	127.387
답적골	22940	36.2461	127.406
도리뫼	22990	36.2329	127.408
증터	23030	36.2224	127.417
